cohort,ancestry,rel_path,ascertainment
ABCD_US,EUR,abcd/output/bpm_pheno/step2_EUR_adol_dep.regenie,prospective
ABCD_US,AFR,abcd/output/bpm_pheno/step2_AFR_adol_dep.regenie,prospective
ABCD_US,AMR,abcd/output/bpm_pheno/step2_AMR_adol_dep.regenie,prospective
ABCD_NL,EUR,abcd_nl/ABCD_DepressionSDQ_30052024_with_N.tsv,prospective
ADDH,EUR,addhealth/sumstats/EUR_case5.regenie_new,prospective
ADDH,AFR,addhealth/sumstats/AFR_case5.regenie_new,prospective
ADDH,AMR,addhealth/sumstats/AMR_case5.regenie_new,prospective
ADDH,EAS,addhealth/sumstats/EAS_case5.regenie_new,prospective
AGDS,EUR,agds/AGDS_QSKIN_adol_dep_merged_withP_QCed.regenie,retrospective
ALSPAC,EUR,alspac/output/alspac_P_adoldep.regenie,prospective
BHRC,AMR,bhrc/BHRC_adoldep_14062024.txt,prospective
BLTS,EUR,blts/BLTS_SPHERE_adol_dep_withP_QCed.regenie,prospective
CATSS_GSA,EUR,catss/GWAS_sumstats/GSA_P_depression.regenie,prospective
CATSS_PSYC,EUR,catss/GWAS_sumstats/PSYC_P_depression.regenie,prospective
GEDI,AFR,gedi/GWAS_gedi_AFR_strict.txt,prospective
GEDI,AMR,gedi/GWAS_gedi_AMR_strict.txt,prospective
GEDI,EUR,gedi/GWAS_gedi_EUR_strict.txt,prospective
GENR_3,EUR,genr/genr3.EUA.YSR.02.09.2024,prospective
GENR_3,ADMIX,genr/genr3.NONEUA.YSR.02.09.2024,prospective
GENR_4,EUR,genr/genr4.EUA.YSR.02.09.2024,prospective
GENR_4,ADMIX,genr/genr4.NONEUA.YSR.02.09.2024,prospective
GENSCOT,EUR,genscot/genscot-gwas/sumstats/genscot_strict_P.regenie,retrospective
GLAD,EUR,glad/GLAD_adolDep_strict_EUR.regenie_110225,retrospective
GUSTO,EAS,gusto/GUSTO_CDI2_180924.txt,prospective
INSCHOOL_W1,EUR,inschool/INShcoolw1_SDQ_11072024_N.txt,prospective
INSCHOOL_W2,EUR,inschool/INShcoolw2_SDQ_11072024_N.txt,prospective
INSCHOOL_W3,EUR,inschool/INShcoolw3_SDQ_11072024_N.txt,prospective
JANSSEN,EUR,janssen/daner_trd1_dgage6_int93dgage_vs_strict_control.meta,retrospective
LIFELINES_AFFY,EUR,lifelines/LL_AdolDep_RetroStrict_AFFY_PAdded_EUR_25102024.txt,retrospective
LIFELINES_GSA,EUR,lifelines/LL_AdolDep_RetroStrict_GSA_PAdded_EUR_25102024.txt,retrospective
MCS,EUR,mcs/SMFQ/EUR/MCS_SMFQ_EUR_180624_N.txt,prospective
MCS,SAS,mcs/SMFQ/SAS/MCS_SMFQ_SAS_180624_N.txt,prospective
MOBA,EUR,moba/MoBa_Results_toshare/MoBa_sMFQ_16082024.txt,prospective
MUSP,EUR,musp/MUSP_DEPRESSION_111224,prospective
NORDIC_LOO,EUR,nordic/METAANALYSIS_LOO_NOR_CHR_BP.TBL,register-based
PGC,EUR,pgc/strict/daner_COL3NES1_STRICT,retrospective
RAINE,EUR,raine/RaineStudy_YSR_20240808.regenie,prospective
TEDS,EUR,teds/TEDS_adolDep_EUR_160724,prospective
TRAILS,EUR,trails/TRAILS_YSR_06122024.regenie,prospective
UKB,EUR,ukb/ukb_kwong/AOD/ukb_imp_v3.qc-cidi_strict-EUR-bt-AOD_GWAS-rf_hgdp1kg_clusters-noPGC.remove2.regenie,retrospective
